cpuUsage ;cpuTemp ;cpuFrequency ;CPU_Power_Draw 
4.166667;79.00;3906.975;11.617000
0.281955;54.00;3906.975;8.420203
4.166667;55.00;3906.975;13.996100
1.879699;54.00;4007.154;13.489610
0.563910;53.00;4007.154;13.103610
1.033835;54.00;3906.975;14.605370
0.563910;53.00;4007.154;13.506850
2.537594;53.00;4007.154;13.060910
2.537594;55.00;4007.154;15.808050
0.563910;52.00;4007.154;13.616350
0.751880;48.00;3906.975;13.969330
2.146925;48.00;3906.975;14.137080
0.093985;48.00;4007.154;13.161590
0.847289;48.00;4007.154;13.341420
0.093985;48.00;3906.975;13.165090
0.469925;48.00;4007.154;13.122960
0.563910;48.00;3906.975;13.194270
0.281955;47.00;3906.975;13.122010
0.662879;52.00;4007.154;13.513450
1.597744;47.00;4007.154;13.868250
0.284091;47.00;4007.154;13.158600
0.845865;48.00;4007.154;14.397070
